Period,Address,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Latitude,Longitude
2004-1-20T0:0:0,sheffield,44.9,50.3,47.8,45.5,91.67,,15.5,,296.04,0.1,4,,12.9,,1014.9,53.38311,-1.46455
2004-1-21T0:0:0,sheffield,43,48.5,45.7,40.8,82.95,,10.3,,277.48,0,0,,16.1,,1018.6,53.38311,-1.46455
2004-1-22T0:0:0,sheffield,42.2,46.4,43.9,40.3,87.4,,12.5,,212.15,0.2,4,,7.3,,1013.3,53.38311,-1.46455
2004-1-23T0:0:0,sheffield,42.4,46.3,44.8,43,93.32,,14.5,,212.48,0.1,4,,5.1,,1011.6,53.38311,-1.46455
2004-1-24T0:0:0,sheffield,37.5,45.8,40.9,35.5,81.29,,17,,270.08,0.1,4,,12.6,,1014.4,53.38311,-1.46455
2004-1-25T0:0:0,sheffield,32.8,43.3,36.8,33.4,87.83,,13.8,,217.5,0,0,,9.2,,1012.9,53.38311,-1.46455
2004-1-26T0:0:0,sheffield,30.8,38.2,34.4,32.9,94.43,,10.9,,139.6,0,4,,4.2,,1008.2,53.38311,-1.46455
2004-1-27T0:0:0,sheffield,30.3,37.1,33.6,28.5,82.19,,14.8,,317.76,0,0,,12.3,,1008.7,53.38311,-1.46455
2004-1-28T0:0:0,sheffield,26.8,35.7,29.9,25.6,84.42,,17.2,,310.84,0,4,,14.9,,1003.7,53.38311,-1.46455
2004-1-29T0:0:0,sheffield,27.3,38.6,33.5,26.9,76.83,,16.7,,277.8,0,4,,15.4,,1008.9,53.38311,-1.46455
2004-1-30T0:0:0,sheffield,30.8,44.9,38.2,34.5,86.45,,21.1,,224.6,0.1,8,,10,,1002.9,53.38311,-1.46455
2004-1-31T0:0:0,sheffield,39.5,53.9,47.5,44.2,88.36,,23,,224.96,0.9,20,,12.7,,987.9,53.38311,-1.46455
2004-2-1T0:0:0,sheffield,39.1,50.6,46.7,40.5,79.44,,25.4,,235.52,0,4,,12.1,,1004.5,53.38311,-1.46455
2004-2-2T0:0:0,sheffield,45.9,53.9,50.5,45.2,82.42,,27.4,,227.52,0.1,8,,11.3,,1011.4,53.38311,-1.46455
2004-2-3T0:0:0,sheffield,53.1,57.8,55.5,51.7,86.98,,36,,222.48,0.1,8,,13.5,,1012.8,53.38311,-1.46455
2004-2-4T0:0:0,sheffield,52.8,57.5,54.3,51.1,88.86,,23,,229.76,0.2,8,,11.7,,1015,53.38311,-1.46455
2004-2-5T0:0:0,sheffield,49.2,54.2,52,45.8,79.39,,20.6,,237.28,0,0,,13.5,,1017.4,53.38311,-1.46455
2004-2-6T0:0:0,sheffield,38.8,49.7,45.7,39.7,79.93,,19.6,,242.12,0.1,8,,14.2,,1009.6,53.38311,-1.46455
2004-2-7T0:0:0,sheffield,35,45.2,41.4,33.9,74.73,,24.3,,269.16,0.3,16,,14.7,,1008.9,53.38311,-1.46455
2004-2-8T0:0:0,sheffield,30.3,43.2,38.8,26.3,61.12,,26.4,,311,0.2,4,,15.9,,1020.1,53.38311,-1.46455
2004-2-9T0:0:0,sheffield,28.4,39.8,34.3,24.9,68.54,,9.3,,260.84,0,0,,14.9,,1034.8,53.38311,-1.46455
2004-2-10T0:0:0,sheffield,36.5,50.1,43.2,37.8,81.12,,18,,259.8,0,0,,10.4,,1028.7,53.38311,-1.46455
2004-2-11T0:0:0,sheffield,44.8,52.4,48.1,43.2,83.26,,14.4,,197.96,0,0,,9.9,,1030.2,53.38311,-1.46455
2004-2-12T0:0:0,sheffield,45.5,48.3,46.6,45,94.15,,7.4,,214.52,0,4,,3.5,,1033.8,53.38311,-1.46455
2004-2-13T0:0:0,sheffield,40.8,49.4,46.2,43.4,90.22,,11,,258.8,0,8,,4.8,,1032.9,53.38311,-1.46455
2004-2-14T0:0:0,sheffield,39.8,44,41.9,39.7,92.15,,8.1,,218.32,0.1,8,,4.8,,1028.6,53.38311,-1.46455
2004-2-15T0:0:0,sheffield,38,46.1,42.1,37.9,85.44,,11.4,,187.46,0,4,,8.8,,1028.7,53.38311,-1.46455
2004-2-16T0:0:0,sheffield,38,48,42.5,36.7,80.76,,8.2,,254.8,0,4,,6.1,,1030.4,53.38311,-1.46455
2004-2-17T0:0:0,sheffield,36.5,43.8,40.9,38.9,92.52,,10.7,,163.6,0.2,8,,6,,1031.5,53.38311,-1.46455
2004-2-18T0:0:0,sheffield,36.4,45.2,39.7,34.1,81.12,,12.8,,243.04,0,0,,11.2,,1033,53.38311,-1.46455
2004-2-19T0:0:0,sheffield,33.1,44.9,38.9,33.4,81.73,,14.5,,66.28,0,4,,13.7,,1031.4,53.38311,-1.46455
2004-2-20T0:0:0,sheffield,31,41.1,35.1,28.9,79.13,,20.8,,55.28,0,0,,13.3,,1025.3,53.38311,-1.46455
2004-2-21T0:0:0,sheffield,30.8,42.9,36.4,28.8,74.54,,16,,47.4,0,0,,6.2,,1019.3,53.38311,-1.46455
2004-2-22T0:0:0,sheffield,31.4,39.3,35.6,27.1,71.89,,19.3,,188.88,0,0,,12.6,,1020,53.38311,-1.46455
2004-2-23T0:0:0,sheffield,29.4,41.6,34,25.8,73.72,,12.8,,320.8,0,0,,15.5,,1024.3,53.38311,-1.46455
2004-2-24T0:0:0,sheffield,30.2,42,34.9,32.5,90.79,,15.5,,205.56,0,8,,8.2,,1015.3,53.38311,-1.46455
2004-2-25T0:0:0,sheffield,25.3,37.5,30.9,24.2,76.76,,13.5,,297.84,0,8,,16.4,,1011.3,53.38311,-1.46455
2004-2-26T0:0:0,sheffield,25.2,37.5,30.5,24.6,79.51,,14.5,,317,0,0,,17.7,,1004.2,53.38311,-1.46455
2004-2-27T0:0:0,sheffield,28.3,38,32.3,29.8,91.03,,24.2,,323.48,0,4,,12.2,,1001.7,53.38311,-1.46455
2004-2-28T0:0:0,sheffield,29.2,38.9,33.5,31.9,94.1,,13.9,,315.12,0,0,,14.9,,1009.3,53.38311,-1.46455
2004-3-1T0:0:0,sheffield,26,42.5,34.1,31.9,92.05,,8.6,,275.32,0,0,,6,,1036.1,53.38311,-1.46455
2004-3-2T0:0:0,sheffield,26.9,44,34.8,30.6,86.39,,16.1,,248,0,0,,5,,1034.1,53.38311,-1.46455
2004-3-3T0:0:0,sheffield,30.3,47,39,36.2,90.11,,16.1,,210.96,0.1,8,,4.5,,1025.4,53.38311,-1.46455
2004-3-4T0:0:0,sheffield,40.4,49.7,44,42.4,94.53,,9,,192.44,0,4,,3.9,,1019.7,53.38311,-1.46455
2004-3-5T0:0:0,sheffield,36.9,44.9,40.2,39.8,98.36,,5.8,,154.58,0,0,,1.6,,1019.8,53.38311,-1.46455
2004-3-6T0:0:0,sheffield,37.7,48.5,42,41,96.72,,12.5,,293.64,0,0,,9.8,,1021.5,53.38311,-1.46455
2004-3-7T0:0:0,sheffield,36.2,43.1,39.3,38,94.94,,11.1,,201.32,0,4,,13.1,,1026,53.38311,-1.46455
2004-3-8T0:0:0,sheffield,35.8,45.2,40.1,36.5,87.8,,8.5,,54.56,0,0,,10,,1036.7,53.38311,-1.46455
2004-3-9T0:0:0,sheffield,33.8,44,38.7,28.4,66.69,,13.9,,62.4,0,0,,15.6,,1036.6,53.38311,-1.46455
2004-3-10T0:0:0,sheffield,32.2,37.1,34.4,30.7,86.53,,11.4,,55.72,0,4,,6.7,,1031.1,53.38311,-1.46455
2004-3-11T0:0:0,sheffield,31.7,38,34.5,29.8,83.51,,25.1,,108.16,0,0,,3.1,,1018.1,53.38311,-1.46455
2004-3-12T0:0:0,sheffield,31,37.7,34.5,32.1,90.91,,19.1,,104.52,0.1,8,,2,,1006.2,53.38311,-1.46455
2004-3-13T0:0:0,sheffield,35.5,49,41.2,37,85.94,,15.4,,199.28,0,8,,7.3,,1006.8,53.38311,-1.46455
2004-3-14T0:0:0,sheffield,41.6,54.8,47.7,41.5,79.43,,28.4,,219.68,0.2,12,,13.8,,1008.8,53.38311,-1.46455
2004-3-15T0:0:0,sheffield,46,55.6,51.6,45.4,79.62,,23.5,,224.08,0,16,,11.3,,1017.7,53.38311,-1.46455
2004-3-16T0:0:0,sheffield,52,61.1,55.5,47.5,75.5,,26.8,,220.16,0,4,,14.9,,1021.3,53.38311,-1.46455
2004-3-17T0:0:0,sheffield,40.9,55.1,50,39.6,68.62,,17.7,,236.08,0,0,,12.8,,1023.8,53.38311,-1.46455
2004-3-18T0:0:0,sheffield,41,51.2,44.9,38.9,80.16,,24.1,,219,0.1,4,,10.6,,1017.5,53.38311,-1.46455
2004-3-19T0:0:0,sheffield,40.3,51.5,44.8,36.7,74.14,,35.5,,235.88,0.1,8,,17,,1005.2,53.38311,-1.46455
2004-3-20T0:0:0,sheffield,40.2,57.8,48.5,41.1,76.29,,44.7,,236.36,0.2,8,,14.1,,994.6,53.38311,-1.46455
2004-3-21T0:0:0,sheffield,38.6,50.6,43.6,36.5,76.46,,30.4,,264.16,0.1,8,,17.8,,996.8,53.38311,-1.46455
2004-3-22T0:0:0,sheffield,37.7,48.4,42,34.5,75.52,,17.2,,293.32,0,4,,21,,1008.9,53.38311,-1.46455
2004-3-23T0:0:0,sheffield,36.8,45.8,40.6,33.9,78.23,,12.8,,217.56,0,4,,13.8,,1017.9,53.38311,-1.46455
2004-3-24T0:0:0,sheffield,36.1,46.1,39.9,33,76.9,,16.1,,269.76,0,4,,11.7,,1025.6,53.38311,-1.46455
2004-3-25T0:0:0,sheffield,35,46.7,39.4,34.1,81.92,,9.7,,154.64,0,0,,9,,1023.4,53.38311,-1.46455
2004-3-26T0:0:0,sheffield,34.2,45.8,40.6,35.3,82.19,,8.1,,285,0,0,,10,,1024.4,53.38311,-1.46455
2004-3-27T0:0:0,sheffield,42.2,49.4,44.9,39.9,82.56,,10,,271.96,0,0,,12,,1016.6,53.38311,-1.46455
2004-3-28T0:0:0,sheffield,42.8,52.1,46.1,38.4,74.77,,13.1,,257.92,0,0,,11.8,,1016.6,53.38311,-1.46455
2004-3-28T23:0:0,sheffield,41.3,54.6,47.5,38.3,71.84,,6.9,,199.8,0,0,,7.4,,1022.2,53.38311,-1.46455
2004-3-29T23:0:0,sheffield,35.5,55.1,44.4,38.2,79.95,,18.4,,90.72,0,0,,5.2,,1019.5,53.38311,-1.46455
2004-3-30T23:0:0,sheffield,39.3,59.3,46.4,40.3,81.62,,16.6,,62.24,0,0,,2.4,,1010.3,53.38311,-1.46455
2004-3-31T23:0:0,sheffield,41.5,56,48.4,44.5,86.64,,14.4,,82.72,0,4,,2.9,,1005.6,53.38311,-1.46455
2004-4-1T23:0:0,sheffield,46.5,58,50.8,43.9,78.85,,10.7,,157,0.2,8,,7.1,,1005.6,53.38311,-1.46455
2004-4-2T23:0:0,sheffield,42.2,55.1,47.8,42.8,83.27,,19.9,,191.88,0,4,,7.8,,1006.6,53.38311,-1.46455
2004-4-3T23:0:0,sheffield,40.7,50.6,44.9,37.7,76.76,,21.3,,256.56,0.5,8,,17.9,,1008.3,53.38311,-1.46455
2004-4-4T23:0:0,sheffield,38.8,50.6,43.1,35.3,74.88,,18,,272.52,0,8,,16.3,,1008.6,53.38311,-1.46455
2004-4-5T23:0:0,sheffield,39.1,45.7,42.3,35.9,78.24,,14.3,,298.84,0,8,,14.3,,1006.9,53.38311,-1.46455
2004-4-6T23:0:0,sheffield,37,48.5,42.1,35.1,76.68,,14.4,,264.76,0,4,,15.1,,1014.8,53.38311,-1.46455
2004-4-7T23:0:0,sheffield,35.8,47.9,41.6,33.6,74.04,,17.2,,219.4,0,0,,14.5,,1020.3,53.38311,-1.46455
2004-4-8T23:0:0,sheffield,34.1,53,43.7,37.3,79.28,,11.7,,295.04,0,0,,8.3,,1019.6,53.38311,-1.46455
2004-4-9T23:0:0,sheffield,41.6,48.3,45.8,40.5,82.33,,10.3,,110.28,0,0,,10.8,,1020.1,53.38311,-1.46455
2004-4-10T23:0:0,sheffield,41.3,53.9,47.4,40.1,76.27,,8.7,,241.84,0,0,,9.4,,1023.9,53.38311,-1.46455
2004-4-11T23:0:0,sheffield,44.9,55.5,49.4,41.4,74.77,,8.8,,285.8,0,0,,10.7,,1026.3,53.38311,-1.46455
2004-4-12T23:0:0,sheffield,42.4,59.3,50.4,38.4,65.19,,10,,260.8,0,0,,14.5,,1024.7,53.38311,-1.46455
2004-4-13T23:0:0,sheffield,46,59.1,51.3,40.1,66.76,,19.2,,218.36,0,0,,10.4,,1018.5,53.38311,-1.46455
2004-4-14T23:0:0,sheffield,40.6,57.7,49.2,39.2,70.17,,16.9,,197.88,0,0,,6.9,,1013.3,53.38311,-1.46455
2004-4-15T23:0:0,sheffield,42.2,58.2,47.2,42.2,83.54,,12.8,,175.8,0.2,4,,4.1,,1011.2,53.38311,-1.46455
2004-4-16T23:0:0,sheffield,42.3,56,47.6,39.5,76.08,,16.7,,203.88,0,0,,8.6,,1000,53.38311,-1.46455
2004-4-17T23:0:0,sheffield,40.9,49.4,43.7,39.9,86.85,,21.9,,235.68,0.7,16,,8.3,,979.5,53.38311,-1.46455
2004-4-18T23:0:0,sheffield,36.8,53.9,45.1,32.9,65.24,,20,,222.68,0.1,4,,17.5,,988.7,53.38311,-1.46455
2004-4-19T23:0:0,sheffield,37.7,56.1,47.4,37.3,69.63,,14.9,,181.75,0,0,,14.5,,1001.2,53.38311,-1.46455
2004-4-20T23:0:0,sheffield,45.7,58.2,51.8,47.5,85.63,,26.8,,188.72,0.1,8,,11,,1003.7,53.38311,-1.46455
2004-4-21T23:0:0,sheffield,43.4,60.5,50.6,39.2,67.88,,19.2,,257.48,0,0,,14.9,,1015.1,53.38311,-1.46455
2004-4-22T23:0:0,sheffield,38,64.7,52.1,40.4,66.15,,9.2,,261.72,0,0,,14.8,,1024.7,53.38311,-1.46455
2004-4-23T23:0:0,sheffield,47.4,67.4,58.2,48.4,71.8,,9,,240.48,0,0,,9.7,,1026.9,53.38311,-1.46455
2004-4-24T23:0:0,sheffield,51.5,69.5,60.2,49.7,70.02,,5.8,,195.64,0,0,,5.8,,1026,53.38311,-1.46455
2004-4-25T23:0:0,sheffield,48.5,68.3,55.7,50.5,83.67,,6.9,,175.08,0.2,4,,3.3,,1020.5,53.38311,-1.46455
2004-4-26T23:0:0,sheffield,46.6,53,49.4,46.5,89.95,,12.8,,226.36,0.4,8,,3.5,,1015.4,53.38311,-1.46455
2004-4-27T23:0:0,sheffield,44.6,53.1,48,45.6,91.75,,14.1,,88.6,0,4,,4.1,,1012.7,53.38311,-1.46455
2004-4-28T23:0:0,sheffield,41.5,46.7,44.3,40.8,87.64,,15.1,,270.36,0.3,12,,9.2,,1005.6,53.38311,-1.46455
2004-4-29T23:0:0,sheffield,42.3,53.9,47.2,43.9,88.69,,15.1,,72.84,0,0,,5,,1005.9,53.38311,-1.46455
2004-4-30T23:0:0,sheffield,44.4,60.5,51,43.6,76.99,,12.1,,74.88,0,0,,6.1,,1007.6,53.38311,-1.46455
2004-5-1T23:0:0,sheffield,43.1,65.4,53.8,42.6,67.51,,8.1,,280.04,0,0,,6.7,,1008.1,53.38311,-1.46455
2004-5-2T23:0:0,sheffield,44.6,56.6,48.8,38.8,70.73,,15.2,,274.92,0.1,4,,11.8,,1002.7,53.38311,-1.46455
2004-5-3T23:0:0,sheffield,42.7,52.8,46,40.7,82.08,,21.9,,211.58,0.4,12,,12.4,,981.2,53.38311,-1.46455
2004-5-4T23:0:0,sheffield,40.6,54.2,46.4,40.6,81.26,,9.2,,226.08,0,4,,12.6,,978.3,53.38311,-1.46455
2004-5-5T23:0:0,sheffield,39.9,56.3,48.8,41.1,76.17,,6.9,,202.12,0,0,,12.5,,992.7,53.38311,-1.46455
2004-5-6T23:0:0,sheffield,40.6,58,50.2,42.6,76.17,,16.1,,313.4,0.2,4,,11.9,,1002.8,53.38311,-1.46455
2004-5-7T23:0:0,sheffield,48.1,59.1,52.5,49.1,88.28,,11.4,,326.68,0.1,8,,6.2,,1003.6,53.38311,-1.46455
2004-5-8T23:0:0,sheffield,48.6,56.9,53.2,50.5,91.04,,5.8,,196.56,0,0,,4.1,,1008.8,53.38311,-1.46455
2004-5-9T23:0:0,sheffield,50.6,65,56.6,51.6,84.01,,8.1,,190.12,0,4,,4.8,,1014.3,53.38311,-1.46455
2004-5-10T23:0:0,sheffield,46.6,54.8,50.8,47.4,88.24,,10.3,,86.84,0,0,,4.3,,1021.6,53.38311,-1.46455
2004-5-11T23:0:0,sheffield,46.3,56.6,50.6,44.6,80.18,,5.8,,50,0,0,,7.4,,1024.8,53.38311,-1.46455
2004-5-12T23:0:0,sheffield,45.3,59.1,52.2,45.3,77.89,,7.1,,255.04,0,0,,7.9,,1023.1,53.38311,-1.46455
2004-5-13T23:0:0,sheffield,45.8,65.9,54.9,48,78.65,,11.4,,289.04,0,0,,9.7,,1024.9,53.38311,-1.46455
2004-5-14T23:0:0,sheffield,48.6,66.3,57.7,47.6,70.52,,7.7,,290.96,0,0,,12.5,,1029.8,53.38311,-1.46455
2004-5-15T23:0:0,sheffield,48.3,72.1,61.1,48.9,65.89,,5.8,,279.72,0,0,,12.3,,1029.7,53.38311,-1.46455
2004-5-16T23:0:0,sheffield,52.1,68.6,59.3,48.4,68.26,,12,,269.36,0,0,,7.8,,1025.6,53.38311,-1.46455
2004-5-17T23:0:0,sheffield,47.2,67.1,57.5,44.7,65.03,,10.8,,277.36,0,0,,11.7,,1025.1,53.38311,-1.46455
2004-5-18T23:0:0,sheffield,49.4,66.5,57.3,47.9,72.21,,15,,264.92,0,0,,12.8,,1023.7,53.38311,-1.46455
2004-5-19T23:0:0,sheffield,47,59.3,54.3,44.1,70.43,,9.7,,267.52,0,0,,11.4,,1022,53.38311,-1.46455
2004-5-20T23:0:0,sheffield,40.9,51.7,46.9,41.8,82.49,,8.9,,189.04,0.3,4,,13.1,,1025.1,53.38311,-1.46455
2004-5-21T23:0:0,sheffield,38.8,60,48.9,37,66.57,,6.9,,164.16,0,0,,13,,1030.5,53.38311,-1.46455
2004-5-22T23:0:0,sheffield,43.3,65.3,54.4,38.4,57.52,,9.6,,251.64,0,0,,16.5,,1029.2,53.38311,-1.46455
2004-5-23T23:0:0,sheffield,45.2,64.5,55.2,39.1,56.11,,11.3,,261.16,0,0,,15.8,,1026.3,53.38311,-1.46455
2004-5-24T23:0:0,sheffield,47,59.4,52.4,43.7,72.93,,9.2,,186.6,0,0,,15.7,,1023.7,53.38311,-1.46455
2004-5-25T23:0:0,sheffield,44.1,55.1,49.6,40.3,71.4,,8.1,,130.08,0,0,,14,,1022.8,53.38311,-1.46455
2004-5-26T23:0:0,sheffield,42.2,60.7,51.9,41.4,68.99,,10.1,,136.76,0,0,,13.7,,1024.9,53.38311,-1.46455
2004-5-27T23:0:0,sheffield,43.4,63.6,54.8,44.5,69.65,,13.4,,185.64,0,0,,11,,1023.7,53.38311,-1.46455
2004-5-28T23:0:0,sheffield,52.7,66.2,58.3,48.5,70.56,,12.9,,207.76,0,4,,10.1,,1019.9,53.38311,-1.46455
2004-5-29T23:0:0,sheffield,50.6,62.9,56.2,48.7,76.9,,8.5,,238.64,0.1,4,,11.6,,1018.4,53.38311,-1.46455
2004-5-30T23:0:0,sheffield,46.3,68.3,58.4,45.9,65.52,,6.9,,198.68,0,0,,13.5,,1017.2,53.38311,-1.46455
2004-5-31T23:0:0,sheffield,51,60.2,54.8,52,90.64,,8.1,,187.83,0.4,8,,4.6,,1016.7,53.38311,-1.46455
2004-6-1T23:0:0,sheffield,48.1,64.8,56.8,48.8,75.92,,8.1,,206.32,0,0,,12.6,,1025.7,53.38311,-1.46455
2004-6-2T23:0:0,sheffield,50.1,60.5,54.8,50.6,86.48,,13.3,,194.04,0.1,4,,8.1,,1027.6,53.38311,-1.46455
2004-6-3T23:0:0,sheffield,55.5,64.9,59.6,53,79.81,,19.1,,248.64,0,4,,12.2,,1020.7,53.38311,-1.46455
2004-6-4T23:0:0,sheffield,55.3,64.1,59.9,53.4,79.43,,9.4,,255.56,0,0,,12.2,,1020.4,53.38311,-1.46455
2004-6-5T23:0:0,sheffield,56.8,74,65.2,56.4,74.36,,8.4,,204.56,0,0,,11.2,,1017.8,53.38311,-1.46455
2004-6-6T23:0:0,sheffield,58.4,77.1,67.3,57.9,73.36,,9.2,,213.8,0,0,,8.8,,1017.6,53.38311,-1.46455
2004-6-7T23:0:0,sheffield,59.3,82.5,69.5,58.5,69.68,82.9,11.1,,180.79,0,0,,7.3,,1015.6,53.38311,-1.46455
2004-6-8T23:0:0,sheffield,56.9,73.7,64.1,52.1,66.32,,13.9,,219,0,0,,13.6,,1017.2,53.38311,-1.46455
2004-6-9T23:0:0,sheffield,57.8,73.1,64.4,53,68.45,,16.1,,233.04,0,4,,16.1,,1016,53.38311,-1.46455
2004-6-10T23:0:0,sheffield,52.1,62.9,56.9,47.4,71.15,,16.3,,259.16,0,4,,14.7,,1017.1,53.38311,-1.46455
2004-6-11T23:0:0,sheffield,51.3,65,58.2,49.1,72.79,,10.4,,292.44,0,4,,14,,1023.5,53.38311,-1.46455
2004-6-12T23:0:0,sheffield,51.5,72.6,62.5,51.7,69.38,,13.9,,292.6,0,0,,15.6,,1031.6,53.38311,-1.46455
2004-6-13T23:0:0,sheffield,58.4,74.9,65.9,51.6,63.05,,14.2,,278,0,0,,14.6,,1029.5,53.38311,-1.46455
2004-6-14T23:0:0,sheffield,55,66.2,62,52.9,72.3,,15.9,,276.56,0,0,,18.4,,1023.7,53.38311,-1.46455
2004-6-15T23:0:0,sheffield,50.6,76.7,62.9,46.3,58.97,,12.8,,270,0,0,,15,,1019.1,53.38311,-1.46455
2004-6-16T23:0:0,sheffield,55.7,60.9,58,47.8,69.18,,12.8,,276.6,0,0,,16.7,,1010.5,53.38311,-1.46455
2004-6-17T23:0:0,sheffield,45.8,56,52.4,46.3,80.11,,15,,228.8,0.1,8,,14.1,,1008.9,53.38311,-1.46455
2004-6-18T23:0:0,sheffield,40.3,55.6,49.3,40.7,73.14,,11.5,,289.8,0.1,8,,15.3,,1008.5,53.38311,-1.46455
2004-6-19T23:0:0,sheffield,47,54.8,49.5,43.5,80.29,,8.1,,288,0.1,4,,14.5,,1006,53.38311,-1.46455
2004-6-20T23:0:0,sheffield,43.8,62,51.9,44.7,77.44,,8.1,,265.32,0.1,8,,13.8,,1008.3,53.38311,-1.46455
2004-6-21T23:0:0,sheffield,44.3,68.6,57.7,45.4,67.72,,20.1,,160.4,0,0,,10.5,,1008.4,53.38311,-1.46455
2004-6-22T23:0:0,sheffield,51.9,61.4,56.6,54.1,91.51,,17.2,,207.62,1.3,16,,10.1,,990.5,53.38311,-1.46455
2004-6-23T23:0:0,sheffield,50.1,55.9,52.9,46.6,79.31,,22.3,,276.75,0,8,,13.9,,1002.7,53.38311,-1.46455
2004-6-24T23:0:0,sheffield,47.7,64.7,55.8,44.4,67.31,,13.4,,248.7,0,0,,14.5,,1016.2,53.38311,-1.46455
2004-6-25T23:0:0,sheffield,47.6,57.8,54.4,49.5,83.91,,14.7,,146.56,0.2,8,,9.6,,1016.1,53.38311,-1.46455
2004-6-26T23:0:0,sheffield,53,67.4,60.2,50.8,73.03,,15.5,,249.76,0,4,,12.3,,1014.9,53.38311,-1.46455
2004-6-27T23:0:0,sheffield,48.5,66.1,57.7,44.8,64.42,,13.9,,254.84,0,0,,18.5,,1023.4,53.38311,-1.46455
2004-6-28T23:0:0,sheffield,54.1,65,59.6,50.3,72.2,,11.7,,249.88,0,0,,14.4,,1022.7,53.38311,-1.46455
2004-6-29T23:0:0,sheffield,54.2,66.5,58.2,49.7,74.27,,17.2,,240.4,0.1,4,,14.5,,1012.5,53.38311,-1.46455
2004-6-30T23:0:0,sheffield,50.3,64.4,57,45.8,67.96,,14.8,,252.04,0,0,,17.7,,1009.3,53.38311,-1.46455
2004-7-1T23:0:0,sheffield,49.7,62.3,55.4,48.2,77.72,,16.7,,235.77,0.1,4,,15.2,,1006.6,53.38311,-1.46455
2004-7-2T23:0:0,sheffield,50.5,60.5,55.1,48.6,79.29,,15.9,,253.68,0.1,8,,14.5,,1008.7,53.38311,-1.46455
2004-7-3T23:0:0,sheffield,51.2,64.2,56.7,48.1,74.07,,15,,270.56,0.1,4,,19.5,,1012.2,53.38311,-1.46455
2004-7-4T23:0:0,sheffield,49.1,68.3,57.7,45.4,66.14,,9.2,,290.52,0,0,,18.2,,1018.7,53.38311,-1.46455
2004-7-5T23:0:0,sheffield,48.5,68.2,58.2,47.7,69.74,,11,,218.52,0,0,,15.4,,1021.8,53.38311,-1.46455
2004-7-6T23:0:0,sheffield,51.1,64.5,57,48.4,74.44,,23.9,,68.76,0.1,4,,16.8,,1017.3,53.38311,-1.46455
